ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
-39108	misc butternut box							1		11.5	0	11.5	11.5	0	11.5	1
-39108	misc cabbage							4		3.8	0	3.8	3.8	0	3.8	1
-39108	misc carrors							1		6	0	6	6	0	6	1
-39108	misc carrot bag							1		6	0	6	6	0	6	1
-39108	misc carrot box							1		11.5	0	11.5	11.5	0	11.5	1
-39108	misc carrot bunch							1		1	0	1	1	0	1	1
-39108	misc carrots							12		71	0	71	71	0	71	1
-39108	misc ccmber							1		0.3	0	0.3	0.3	0	0.3	1
-39108	misc cconut							5		6	0.5	5.5	5.5	0	5.5	1
-39108	misc cconuts							1		2	0	2	2	0	2	1
-39108	misc ccumber							1		4.29	0	4.29	4.29	0	4.29	1
-39108	misc ccumbers							1		1.2	0	1.2	1.2	0	1.2	1
-39108	misc cherries							9		14	0	14	14	0	14	1
-39108	misc cherry							23		30.2	0	30.2	30.2	0	30.2	1
-39108	misc chestnut							3		6.3	0	6.3	6.3	0	6.3	1
-39108	misc chestnuts							3		0.8	0	0.8	0.8	0	0.8	1
-39108	misc chicory							27		83.6	0	83.6	83.6	0	83.6	1
-39108	misc chocory							1		2	0	2	2	0	2	1
-39108	misc chrries							1		1	0	1	1	0	1	1
-39108	misc cocnut							1		1	0	1	1	0	1	1
-39108	misc coco							1		1	0	1	1	0	1	1
-39108	misc coconut							26		26	0.5003	25.4997	25.4997	0	25.5	1
-39108	misc coconuts							8		17	2	15	15	0	15	1
-39108	misc cookers							1		26	0	26	26	0	26	1
-39108	misc cooking apples							4		98	0	98	98	0	98	1
-39108	misc coufgette							1		1.2	0	1.2	1.2	0	1.2	1
-39108	misc courgette							4		6.1	0	6.1	6.1	0	6.1	1
-39108	misc courgette box							2		19	0	19	19	0	19	1
-39108	misc courgette large							1		1.2	0	1.2	1.2	0	1.2	1
-39108	misc courgettes							18		151.2	0	151.2	151.2	0	151.2	1
-39108	misc cours							5		14.75	0	14.75	14.75	0	14.75	1
-39108	misc cranberry							7		23	0	23	23	0	23	1
-39108	misc cucumber							17		34.15	0	34.15	34.15	0	34.15	1
-39108	misc cucumber box							2		18.5	0	18.5	18.5	0	18.5	1
-39108	misc cucumbers							14		83.99	0	83.99	83.99	0	83.99	1
-39108	misc cucumbrs							1		3	0	3	3	0	3	1
-39108	misc cue							5		2.4	0	2.4	2.4	0	2.4	1
-39108	misc cue bag							1		3.49	0	3.49	3.49	0	3.49	1
-39108	misc cues							106		203.67	0	203.67	203.67	0	203.67	1
-39108	misc curants							1		3	0	3	3	0	3	1
-39108	misc cureant							1		1.5	0	1.5	1.5	0	1.5	1
-39108	misc cureants							4		5.7	0	5.7	5.7	0	5.7	1
-39108	misc currant							3		5.1	0	5.1	5.1	0	5.1	1
-39108	misc currants							54		101.7	0	101.7	101.7	0	101.7	1
-39108	misc cus							2		1.6	0	1.6	1.6	0	1.6	1
-39108	misc dates							39		202.59	0	202.59	202.59	0	202.59	1
-39108	misc dragon							6		18	0	18	18	0	18	1
-39108	misc dragon fruit							1		4	0	4	4	0	4	1
-39108	misc dragon fuit							1		4	0	4	4	0	4	1
-39108	misc dragonfruit							3		6	0	6	6	0	6	1
-39108	misc drinks							2		7	0	7	7	0	7	1
-39108	misc eggs							1		6.39	0	6.39	6.39	0	6.39	1
-39108	misc exotic							1		4	0	4	4	0	4	1
-39108	misc exotics							1		2	0	2	2	0	2	1
-39108	misc feg							1		1.96	0	1.96	1.96	0	1.96	1
-39108	misc fig							3		1.5	0	1.5	1.5	0	1.5	1
-39108	misc figs							10		13.5	0	13.5	13.5	0	13.5	1
-39108	misc fits							1		1	0	1	1	0	1	1
-39108	misc fruit							7		78.17	0	78.17	78.17	0	78.17	1
-39108	misc fruit shoot							6		35.5	0	35.5	35.5	0	35.5	1
-39108	misc fruit shoots							7		63	0	63	63	0	63	1
-39108	misc fruitshoot							1		7	0	7	7	0	7	1
-39108	misc furrants							1		1.5	0	1.5	1.5	0	1.5	1
-39108	misc gala bo							1		22	0	22	22	0	22	1
-39108	misc gala box							1		23	0	23	23	0	23	1
-39108	misc gandilla							3		6	0	6	6	0	6	1
-39108	misc garlic							11		75	0	75	75	0	75	1
-39108	misc geandilla							1		4	0	4	4	0	4	1
-39108	misc geg							1		13.15	0	13.15	13.15	0	13.15	1
-39108	misc gerries							1		3.6	0	3.6	3.6	0	3.6	1
-39108	misc gerry							1		1.2	0	1.2	1.2	0	1.2	1
-39108	misc golden box							2		44	0	44	44	0	44	1
-39108	misc gooseberries							4		8	0	8	8	0	8	1
-39108	misc gooseberry							1		8	0	8	8	0	8	1
-39108	misc grandilla							41		80.1	0.1	80	80	0	80	1
-39108	misc granny							1		22	0	22	22	0	22	1
-39108	misc grapes							7		44.29	0	44.29	44.29	0	44.29	1
-39108	misc guava							8		15.87	0	15.87	15.87	0	15.87	1
-39108	misc guqva							1		1	0	1	1	0	1	1
-39108	misc half onions							1		10	0	10	10	0	10	1
-39108	misc horn melon							1		4	0	4	4	0	4	1
-39108	misc horseradish							4		17.99	0	17.99	17.99	0	17.99	1
-39108	misc jack fruit							1		1	0	1	1	0	1	1
-39108	misc jackfruit							2		2	0	2	2	0	2	1
-39108	misc jfruit							1		1	0	1	1	0	1	1
-39108	misc jut							1		1	0	1	1	0	1	1
-39108	misc kholrabi							1		17	0	17	17	0	17	1
-39108	misc kiwi							18		25.6	0	25.6	25.6	0	25.6	1
-39108	misc kiwi pack							1		1.2	0	1.2	1.2	0	1.2	1
-39108	misc kiwis							1		1.2	0	1.2	1.2	0	1.2	1
-39108	misc kmquats							1		1	0	1	1	0	1	1
-39108	misc kumquat							5		5	0	5	5	0	5	1
-39108	misc kumquats							11		11	0	11	11	0	11	1
-39108	misc kwi							1		1.2	0	1.2	1.2	0	1.2	1
-39108	misc large courgette							2		2.4	0	2.4	2.4	0	2.4	1
-39108	misc leeks							1		8	0	8	8	0	8	1
-39108	misc lettuce							8		3.35	0	3.35	3.35	0	3.35	1
-39108	misc lyc							1		1	0	1	1	0	1	1
-39108	misc lychee							12		35.2	0	35.2	35.2	0	35.2	1
-39108	misc lychee box							2		33	0	33	33	0	33	1
-39108	misc lychees							17		79.5	0.0645	79.4355	79.4355	0	79.44	1
-39108	misc lyches							1		3	0	3	3	0	3	1
-39108	misc mango							41		63.13	0	63.13	63.13	0	63.13	1
-39108	misc marrow							22		27	2.001	24.999	24.999	0	25	1
-39108	misc mel							1		6	0	6	6	0	6	1
-39108	misc meln							9		45.5	0	45.5	45.5	0	45.5	1
-39108	misc melon							196		954.53	3.9815	950.5485	950.5485	0	950.55	1
-39108	misc melon box							1		4.99	0	4.99	4.99	0	4.99	1
-39108	misc melons							5		30.24	0	30.24	30.24	0	30.24	1
-39108	misc meoon							3		18.5	0	18.5	18.5	0	18.5	1
-39108	misc milk							20		222.28	0	222.28	222.28	0	222.28	1
-39108	misc mini courgette							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc mini cues							3		5.49	0	5.49	5.49	0	5.49	1
-39108	misc mini peppers							1		4.5	0	4.5	4.5	0	4.5	1
-39108	misc mixed pepper							1		15	0	15	15	0	15	1
-39108	misc mixee peppers							1		3	0	3	3	0	3	1
-39108	misc mlk							1		11.92	0	11.92	11.92	0	11.92	1
-39108	misc mlon							2		9.5	0	9.5	9.5	0	9.5	1
-39108	misc mqrrow							1		2	0	2	2	0	2	1
-39108	misc mush							1		7.7	0	7.7	7.7	0	7.7	1
